mention,label,start,end,method
Alan Turing,PERSON,0,11,spacy_ner
Alan Turing,CANDIDATE,0,11,rule_heuristic
1912 - 1954,DATE,13,24,spacy_ner
1912,DATE,13,17,rule_pattern
1954,DATE,20,24,rule_pattern
Paddington,GPE,160,170,spacy_ner
London,GPE,172,178,spacy_ner
Julius Mathison Turing,PERSON,192,214,rule_gazetteer
Julius Mathison Turing,CANDIDATE,192,214,rule_heuristic
Mathison Turing,PERSON,199,214,spacy_ner
the Indian Civil Service,ORG,240,264,spacy_ner
Indian Civil Service,ORG,244,264,rule_gazetteer
Indian Civil Service,CANDIDATE,244,264,rule_heuristic
Alan,PERSON,290,294,spacy_ner
Ethel Sara Stoney,PERSON,305,322,spacy_ner
Ethel Sara Stoney,CANDIDATE,305,322,rule_heuristic
Alan,PERSON,390,394,spacy_ner
India,GPE,428,433,spacy_ner
When Alan,CANDIDATE,435,444,rule_heuristic
Alan,PERSON,440,444,spacy_ner
about one year old,DATE,449,467,spacy_ner
India,GPE,503,508,spacy_ner
Alan,PERSON,518,522,spacy_ner
England,GPE,526,533,spacy_ner
Alan,PERSON,562,566,spacy_ner
a few months,DATE,671,683,spacy_ner
Next,ORG,685,689,spacy_ner
Hazlehurst Preparatory School,ORG,705,734,spacy_ner
Hazlehurst Preparatory School,CANDIDATE,705,734,rule_heuristic
Common Entrance Examination,ORG,965,992,spacy_ner
Common Entrance Examination,CANDIDATE,965,992,rule_heuristic
the year,DATE,1000,1008,spacy_ner
Sherborne,GPE,1931,1940,spacy_ner
a very early age,DATE,1996,2012,spacy_ner
Public School,ORG,2146,2159,spacy_ner
Public School,CANDIDATE,2146,2159,rule_heuristic
Scientific Specialist,ORG,2219,2240,spacy_ner
Scientific Specialist,CANDIDATE,2219,2240,rule_heuristic
a Public School,ORG,2268,2283,spacy_ner
Public School,CANDIDATE,2270,2283,rule_heuristic
Christopher Morcom,PERSON,2664,2682,spacy_ner
Christopher Morcom,CANDIDATE,2664,2682,rule_heuristic
the year,DATE,2695,2703,spacy_ner
However Morcom,CANDIDATE,2882,2896,rule_heuristic
February,DATE,2905,2913,spacy_ner
Morcom,ORG,2989,2995,spacy_ner
King's College,ORG,3246,3260,spacy_ner
Cambridge,GPE,3262,3271,spacy_ner
the following year,DATE,3500,3518,spacy_ner
Cambridge,GPE,3566,3575,spacy_ner
quantum mechanics,CONCEPT,3731,3748,rule_gazetteer
the Moral Science Club,ORG,3896,3918,spacy_ner
Moral Science Club,CANDIDATE,3900,3918,rule_heuristic
Cambridge,GPE,3922,3931,spacy_ner
December of that year,DATE,3935,3956,spacy_ner
the year,DATE,4245,4253,spacy_ner
Hitler,PERSON,4257,4263,spacy_ner
Germany,GPE,4274,4281,spacy_ner
Britain,GPE,4313,4320,spacy_ner
King's College,ORG,5133,5147,spacy_ner
Cambridge,GPE,5149,5158,spacy_ner
"In
Turing",CANDIDATE,5292,5301,rule_heuristic
Cambridge,GPE,5320,5329,spacy_ner
On Computable Numbers,CANDIDATE,5460,5481,rule_heuristic
Computable Numbers,PERSON,5463,5481,spacy_ner
Entscheidungsproblem,GPE,5510,5530,spacy_ner
Turing machine,CONCEPT,5611,5625,rule_gazetteer
The Turing,CANDIDATE,5702,5712,rule_heuristic
Turing machine,CONCEPT,5706,5720,rule_gazetteer
Turing machine,CONCEPT,6151,6165,rule_gazetteer
Ï,PERSON,6209,6211,spacy_ner
Turing machine,CONCEPT,6624,6638,rule_gazetteer
Turing,ORG,7042,7048,spacy_ner
Princeton University,ORG,7178,7198,spacy_ner
Princeton University,CANDIDATE,7178,7198,rule_heuristic
Princeton,PERSON,7256,7265,spacy_ner
Turing,ORG,7352,7358,spacy_ner
Turing,ORG,7706,7712,spacy_ner
Turing machine,CONCEPT,8199,8213,rule_gazetteer
today,DATE,8222,8227,spacy_ner
Princeton Turing,ORG,8290,8306,spacy_ner
Princeton Turing,CANDIDATE,8290,8306,rule_heuristic
Cambridge,GPE,8373,8382,spacy_ner
today,DATE,8478,8483,spacy_ner
Government Code,CANDIDATE,8631,8646,rule_heuristic
Cypher School,ORG,8651,8664,spacy_ner
Cypher School,CANDIDATE,8651,8664,rule_heuristic
German Enigma,CANDIDATE,8722,8735,rule_heuristic
Enigma,CONCEPT,8729,8735,rule_gazetteer
Government Code,CANDIDATE,8793,8808,rule_heuristic
Cypher School,ORG,8813,8826,spacy_ner
